1)					//Rafael Sampaio - 866307

a)_________________________________________________
| m | x y z | x' | z' | y+z'|(y+z')'| x' . (y+z')' |
|---|-------|----|----|-----|-------|--------------|
| 0 | 0 0 0 | 1  | 1  |  1  |   0   | 	    0      |
| 1 | 0 0 1 | 1  | 0  |  0  |   1   |       1      |
| 2 | 0 1 0 | 1  | 1  |  1  |   0   |       0      |
| 3 | 0 1 1 | 1  | 0  |  1  |   0   | 	    0      |
| 4 | 1 0 0 | 0  | 1  |  1  |   0   | 	    0      |
| 5 | 1 0 1 | 0  | 0  |  0  |   1   | 	    0      |
| 6 | 1 1 0 | 0  | 1  |  1  |   0   | 	    0      |
| 7 | 1 1 1 | 0  | 0  |  1  |   0   | 	    0      |
|___|_______|____|____|_____|_______|______________|



b)_____________________________________________
| m | x y z | x' | X'+Y|(X'+Y)'| (X' + Y)' .Z |
|---|-------|----|--- -|-----  |-------=------|
| 0 | 0 0 0 | 1  |  1  |   0   |       0      |
| 1 | 0 0 1 | 1  |  1  |   0   |       0      |
| 2 | 0 1 0 | 1  |  1  |   0   |       0      |
| 3 | 0 1 1 | 1  |  1  |   0   |       0      |
| 4 | 1 0 0 | 0  |  0  |   1   |       0      |
| 5 | 1 0 1 | 0  |  0  |   1   |       1      |
| 6 | 1 1 0 | 0  |  1  |   0   |       0      |
| 7 | 1 1 1 | 0  |  1  |   0   |       0      |
|___|_______|____|_____|_______|______________|


c)__________________________________________________________
| m | x y z | x' | y' | z'  | x'.y'|(x'.y')'| (x'.y')' .z' |
|---|-------|----|----|-----|----- |------- |--------------|
| 0 | 0 0 0 | 1  | 1  |  1  | 1    |   0    | 	    0      |
| 1 | 0 0 1 | 1  | 1  |  0  | 1    |   0    |       0      |
| 2 | 0 1 0 | 1  | 0  |  1  | 0    |   1    |       1      |
| 3 | 0 1 1 | 1  | 0  |  0  | 0    |   1    | 	    0      |
| 4 | 1 0 0 | 0  | 1  |  1  | 0    |   1    | 	    1      |
| 5 | 1 0 1 | 0  | 1  |  0  | 0    |   1    | 	    0      |
| 6 | 1 1 0 | 0  | 0  |  1  | 0    |   1    | 	    1      |
| 7 | 1 1 1 | 0  | 0  |  0  | 0    |   1    | 	    0      |
|___|_______|____|____|_____|______|________|______________|


d)______________________________________________
| m | x y z | Y' | X.Y'|(X.Y')'| (X . Y')' .Z |
|---|-------|----|--- -|-----  |-------=------|
| 0 | 0 0 0 | 1  |  0  |   1   |       0      |
| 1 | 0 0 1 | 1  |  0  |   1   |       1      |
| 2 | 0 1 0 | 0  |  0  |   1   |       0      |
| 3 | 0 1 1 | 0  |  0  |   1   |       1      |
| 4 | 1 0 0 | 1  |  1  |   0   |       0      |
| 5 | 1 0 1 | 1  |  1  |   0   |       0      |
| 6 | 1 1 0 | 0  |  0  |   1   |       0      |
| 7 | 1 1 1 | 0  |  0  |   1   |       1      |
|___|_______|____|_____|_______|______________|


e)___________________________________________________________
| m | x y z | x' | y' | z'  |(X'+Y')|(Y+Z') |(Y+Z')' | (x'+y')' . (Y+Z')' |
|---|-------|----|----|-----|-----  |-------|------- |--------------------|
| 0 | 0 0 0 | 1  | 1  |  1  | 1     | 1     |   0    | 	        0   	  |
| 1 | 0 0 1 | 1  | 1  |  0  | 1     | 1     |   0    |          0 	  |
| 2 | 0 1 0 | 1  | 0  |  1  | 1     | 1     |   0    |          0   	  |
| 3 | 0 1 1 | 1  | 0  |  0  | 1     | 1     |   0    | 	        0  	  |
| 4 | 1 0 0 | 0  | 1  |  1  | 1     | 1     |   0    | 	        0  	  |
| 5 | 1 0 1 | 0  | 1  |  0  | 1     | 1     |   0    | 	        0  	  |
| 6 | 1 1 0 | 0  | 0  |  1  | 0     | 1     |   0    | 	        0  	  |
| 7 | 1 1 1 | 0  | 0  |  0  | 0     | 1     |   0    | 	        0  	  |
|___|_______|____|____|_____|_______|_______|________|____________________|

2) 

a) x' . ( x + y )'= x'y'        	b)( x + y' ) + ( x' . y' ) = x + y'
   
c)( x . y' )' . ( x + y )= x'+Yx'+Y	d)( x . y' )' + ( x + y' )'= X' + Y
   
e) ( y + x' ) . ( y' + x )'= yx'  

3) 

a)_______________________
| m | x y z | f(x,y,z) | 
|---|-------|----------|
| 0 | 0 0 0 |   0      |  
| 1 | 0 0 1 |   1      | 
| 2 | 0 1 0 |   1      | 
| 3 | 0 1 1 |   0      |  
| 4 | 1 0 0 |   0      |
| 5 | 1 0 1 |   0      | 
| 6 | 1 1 0 |   1      | 
| 7 | 1 1 1 |   1      |   
|___|_______|__________|


b)_______________________
| m | x y z | f(x,y,z) | 
|---|-------|----------|
| 0 | 0 0 0 |   0      |  
| 1 | 0 0 1 |   0      | 
| 2 | 0 1 0 |   0      | 
| 3 | 0 1 1 |   1      |  
| 4 | 1 0 0 |   0      |
| 5 | 1 0 1 |   1      | 
| 6 | 1 1 0 |   1      | 
| 7 | 1 1 1 |   1      |   
|___|_______|__________|

c)_______________________
| m | x y w z | f(x,y,z) | 
|---|---------|----------|
| 0 | 0 0 0 0 |   0      |  
| 1 | 0 0 0 1 |   1      | 
| 2 | 0 0 1 0 |   1      | 
| 3 | 0 0 1 1 |   1      |  
| 4 | 0 1 0 0 |   0      |
| 5 | 0 1 0 1 |   1      | 
| 6 | 0 1 1 0 |   0      | 
| 7 | 0 1 1 1 |   1      |  
| 8 | 1 0 0 0 |   0      |
| 9 | 1 0 0 1 |   0      |
|10 | 1 0 1 0 |   0      |
|11 | 1 0 1 1 |   0      |
|12 | 1 1 0 0 |   0      |
|13 | 1 1 0 1 |   1      |
|14 | 1 1 1 0 |   0      |
|15 | 1 1 1 1 |   1      |
|___|_________|__________|

d)_______________________
| m | x y w z | f(x,y,z) | 
|---|---------|----------|
| 0 | 0 0 0 0 |   0      |  
| 1 | 0 0 0 1 |   1      | 
| 2 | 0 0 1 0 |   1      | 
| 3 | 0 0 1 1 |   0      |  
| 4 | 0 1 0 0 |   1      |
| 5 | 0 1 0 1 |   0      | 
| 6 | 0 1 1 0 |   0      | 
| 7 | 0 1 1 1 |   0      |  
| 8 | 1 0 0 0 |   1      |
| 9 | 1 0 0 1 |   0      |
|10 | 1 0 1 0 |   1      |
|11 | 1 0 1 1 |   0      |
|12 | 1 1 0 0 |   1      |
|13 | 1 1 0 1 |   0      |
|14 | 1 1 1 0 |   1      |
|15 | 1 1 1 1 |   0      |
|___|_________|__________|

e)_______________________
| m | x y w z | f(x,y,z) | 
|---|---------|----------|
| 0 | 0 0 0 0 |   1      |  
| 1 | 0 0 0 1 |   0      | 
| 2 | 0 0 1 0 |   1      | 
| 3 | 0 0 1 1 |   0      |  
| 4 | 0 1 0 0 |   0      |
| 5 | 0 1 0 1 |   0      | 
| 6 | 0 1 1 0 |   1      | 
| 7 | 0 1 1 1 |   1      |  
| 8 | 1 0 0 0 |   1      |
| 9 | 1 0 0 1 |   0      |
|10 | 1 0 1 0 |   0      |
|11 | 1 0 1 1 |   0      |
|12 | 1 1 0 0 |   0      |
|13 | 1 1 0 1 |   0      |
|14 | 1 1 1 0 |   1      |
|15 | 1 1 1 1 |   0      |
|___|_________|__________|
 
4)

a)_______________________
| m | x y z | f(x,y,z) | 
|---|-------|----------|
| 0 | 0 0 0 |   1      |  
| 1 | 0 0 1 |   0      | 
| 2 | 0 1 0 |   1      | 
| 3 | 0 1 1 |   0      |  
| 4 | 1 0 0 |   1      |
| 5 | 1 0 1 |   1      | 
| 6 | 1 1 0 |   0      | 
| 7 | 1 1 1 |   0      |   
|___|_______|__________|



b)_______________________
| m | x y z | f(x,y,z) | 
|---|-------|----------|
| 0 | 0 0 0 |   0      |  
| 1 | 0 0 1 |   1      | 
| 2 | 0 1 0 |   0      | 
| 3 | 0 1 1 |   1      |  
| 4 | 1 0 0 |   1      |
| 5 | 1 0 1 |   1      | 
| 6 | 1 1 0 |   0      | 
| 7 | 1 1 1 |   0      |   
|___|_______|__________|

c) F (X,Y,W,Z) = π M ( 0, 1, 2, 5, 6, 7, 11, 13 )

 _______________________
| m | x y w z | f(x,y,z) | 
|---|---------|----------|
| 0 | 0 0 0 0 |   0      |  
| 1 | 0 0 0 1 |   0      | 
| 2 | 0 0 1 0 |   0      | 
| 3 | 0 0 1 1 |   1      |  
| 4 | 0 1 0 0 |   1      |
| 5 | 0 1 0 1 |   0      | 
| 6 | 0 1 1 0 |   0      | 
